model,relation,n,MRR,Hits@1
TransE,required_for,13624,0.870631284575622,0.8325748678802114
TransE,optional_for,5260,0.6047259743584662,0.46844106463878327
TransE,broader,470,0.35678366338994594,0.0
TransE,narrower,82,0.35540019189341177,0.0
DistMult,required_for,13624,0.9055115680338577,0.8729448032883147
DistMult,optional_for,5260,0.7907076107707924,0.7353612167300381
DistMult,broader,470,0.6028196588202953,0.5276595744680851
DistMult,narrower,82,0.6762341363183475,0.5975609756097561
R-GCN,required_for,13624,0.7701273633174389,0.7036846741045214
R-GCN,optional_for,5260,0.48766478555872317,0.38079847908745246
R-GCN,broader,470,0.28112523019681607,0.1127659574468085
R-GCN,narrower,82,0.12573076291540575,0.0
